Work,Name,Date,Category,Region,Price (USD)
662,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
663,Antique Circus Clown with poseable arms and caracterful smile (20th C),20th,Sculpture,Europe,4450.05
664,Taxidermy Composition of Three Flamingos' in Glass Case (before 1947),20th,Design/Decorative Art,Europe,9207
665,"Early 20th C, Antique Wooden Rocking Horse  (first half 20th C)",20th,Sculpture,Europe,1584
666,Early 20th C. Bombardon and two Saxophones by F.Cauwelaert (20th C),20th,Other,Europe,2979.9
667,"Ancient Red Stone Village Millstone, Most probably from Ghana (18th C)",18th,Sculpture,Europe,3316.5
668,"Large 19th C, Pharmacy reversed painted Display Dispensing Jar (19th Century)",19th,Design/Decorative Art,Europe,1940.4
669,"14th C, France, Heavy Forged Iron and Hardwood Chariot Wheel (14th C)",14th,Sculpture,Europe,1960.2
670,Impressive Coral Stone Ancestor's Carved Head from the Solomons Islands (19th century),19th,Sculpture,Europe,2673
671,Butcher's Exterior Shop Sign of a Steer Head (First half 20th C),20th,Sculpture,Europe,5841
672,"Standing Human Skeleton in Wood, South East Asia, Early 20th C.  (Early 20th C)",20th,Sculpture,Europe,6925.05
673,"Senufo People,Ivory Coast, Standing Female Tugubele Divination Figure (First Half 20th C)",20th,Sculpture,Europe,7722
674,"Collection of 20 Decorative and very Expressive Bembe Mudzini Reliquary Figures, DRC. (20th Century )",20th,Sculpture,Europe,13711.5
675,"19th Century Didactic Torso Model by Jozef Steger, designed by Carl E. Bock. (19th Century )",19th,Sculpture,Europe,7870.5
676,"Griffon Vulture (Gyps fulvus),II/A.Magnificent Griffon Vulture on Antique White Museum Stand (1910)",20th,Design/Decorative Art,Europe,4643.1
677,"Urhubo People, Nigeria, Family Ancestor Statue with rests of Kaolin (First Half 20th C)",20th,Sculpture,Europe,4752
678,"Early 20th C, DRC, Selection of three Bark cloth Beaters  (First Half of 20th Century )",NA,Sculpture,Europe,4440.15
679,Wicker Armchair (c. 1955),NA,Design/Decorative Art,North America,8000
680,"Dondo People,DRC,Very old Ceremonial Spoon with sculptured Head finial. (Second Half 19th C)",19th,Sculpture,Europe,5187.6
681,A pair of Early Native Tribal South Oceanic Ceremonial decorated Adze (First Half 20th Century),20th,Sculpture,Europe,1564.2
682,Noblewoman (19th Century),19th,Print,Europe,297
683,A pair of old Punjabi hand crafted wooden tribal wedding chairs (20th century),20th,Other,Europe,2920.5
684,Absolute Line (2021),21st,Mixed Media,North America,22000
685,"Katagami (stencil) for a summer kimono, Japanese, Showa period (1960-1969)",20th,Other,Europe,594
686,"Bearded Vulture (Gypaetus barbatus),II/A - cites dd 09/03/2019 (1934)",20th,Design/Decorative Art,Europe,4945.05
687,"Mangbetu People,DRC.Very Early Male Statue with Snake Vertebrae Belt (19th C)",19th,Sculpture,Europe,7870.5
688,"Community Protective Power Figure covered in Pangolin scales with Necklace, dated 1938. (1938)",20th,Sculpture,Europe,14751
689,"Female Life-size Anatomical Écorche Torso Model, Shimadzu Company, Kyoto, Japan, 1934 (1934)",20th,Sculpture,Europe,7870.5
690,Early 19th C Large Mortar carved from One Single Piece of Wood (Early 19th C),19th,Sculpture,Europe,534.6
691,19th C Glass Dome on Ebonised Base with 26 Exotic birds - label W.J.Hole (19th Century ),19th,Design/Decorative Art,Europe,6925.05
692,Tellus Mater (2019),21st,Print,North America,600
693,"Colourful Neck covering Headdress ""Myhara"" from the Rikbaktsa people in Brazil. (First half 20th century )",20th,Design/Decorative Art,Europe,6925.05
694,"19th C Didactic Wooden ""Babymachine"" Obstetrician's model, designed and manufactured by F. Mathieu. (19th Century )",19th,Sculpture,Europe,16285.5
695,Pair of 19th C Carousel Decorative Female Torsos attributed to Charles I.D. Luff from Brooklyn. (19th C),19th,Sculpture,Europe,17770.5
696,"Male Bonelli’s Eagle - dark phase (Hieraaetus fasciatus) ,II/A.Magnificent Male Bonelli's Eagle - dark phase - on Antique White Museum Stand. (1910)",20th,Other,Europe,3484.8
697,Venice Biennale (1909),NA,Print,Europe,277.2
698,Noblewoman (19th Century),19th,Print,Europe,297
699,"18th C., probably southern Europe, Saint, Wooden polychromed Sculpture of Saint Anthony carrying Jesus on his arm. (18th century )",18th,Sculpture,Europe,910.8
700,The Hague (18th Century),18th,Print,Europe,455.4
701,LA (Los Angeles) (2020),21st,Print,North America,3900
702,"Late 17th C, Baroque, Saint, Italian School, Wooden Sculpture of Saint Anthony carrying the Christ Child, Wood, 145 x 71 cm x 40 cm (Late 17th C)",17th,Sculpture,Europe,8860.5
703,Risk-Oleum (2016),21st,Print,North America,13000
704,"18th C, Religious, Probably Spanish School, Gilded Sculpture of the Virgin and Child surrounded by a Halo of Rays and Roses, Gilded Wood, 63 x 41 x 12 cm (18th C)",18th,Sculpture,Europe,3217.5
705,The Duel ( Mid 19th Century),NA,Print,Europe,148.5
706,Money Doesn't Grow on Tree's (2000),NA,Print,North America,7200
707,The Clay Castle (Mid 19th Century),19th,Print,Europe,148.5
708,Ram Lakshman,21st,Painting,Asia,60
709,A Deep Dive into the Ocean (2022),21st,Painting,North America,4600
710,Celestial Telemetry (2022),21st,Painting,North America,2350
711,"Selection of 7 Cache-Sexe made of Palm Leaf with natural and dyed black twisted Fibres.Mangbetu People,DRC. (ca. 1930)",20th,Sculpture,Europe,3301.65
712,Street Sign (Bob's Big Boy ) (2018),21st,Print,North America,3900
713,Untitled (Before 2017),NA,Painting,North America,7150
714,Suzanne (19th Century),19th,Print,Europe,376.2
715,Bob Big Boy Street Art Print (2018),21st,Print,North America,3900
716,Marthe Mellot (Early 20th Century),20th,Print,Europe,277.2
717,Portrait of Child (1950s),20th,Print,Europe,475.2
718,Double Oleum (2017),21st,Print,North America,13000
719,"Martha's Vineyard, Edgatown, 08- 02 (Unknown)",NA,"Drawing, Collage or other Work on Paper",North America,850
720,My Heart Belongs to Switzerland (2000),NA,Print,North America,4200
721,"Knight, Death and the Devil - After Albrecht Dürer (ca. 1600)",17th,Print,North America,2500
722,Solar Gravity at Night  (2022),21st,Painting,North America,5500
723,Figure (20th Century),20th,Print,Europe,282.5
724,The Cat (1950s),20th,Print,Europe,282.5
725,Cotton Candy Poison (2022),21st,Print,North America,150
726,La Bonne petite fille (1800s),19th,Print,Europe,247.5
727,The Last Buttons are Pressed (Unknown),NA,Print,North America,275
728,Arabic girl  (Early 20th century),20th,Print,Europe,858.8
729,Lichen (1972),20th,Print,North America,8000
730,Map of Germany (1820),19th,Print,Europe,350.3
731,Self-Portrait #1 (2019),21st,Painting,North America,5000
732,Map of the World (1820),19th,Print,Europe,350.3
733,Moab (ca. 2021),21st,Painting,North America,6240
734,Ovid's Metamorphosis Series (1606),17th,Print,Europe,1525.5
735,Let's Go Elsewhere (1899),19th,Print,Europe,339
736,Ovid's Metamorphosis Series ( 1606),17th,Print,Europe,1412.5
737,The (Consistent and Tiring) Process of Trying to Better My Human Self (2020),21st,Painting,North America,7000
738,Vision (19th Century),19th,Print,Europe,565
739,Dining Table (1960s),20th,Design/Decorative Art,North America,18000
740,There is A Crack in Everything (2016),21st,Painting,North America,5500
741,Self-Portrait #2 (2019),21st,Painting,North America,5000
742,self-portrait with Asian face (2019),21st,Painting,North America,5000
743,Antiquities of Herculaneum Exposed (18th Century),18th,Print,Europe,361.6
744,High Desert Gem (2021),21st,Painting,North America,4200
745,La Civilisation à la Porte (Mid-19th Century),19th,Print,Europe,203.4
746,Landscape (Late 20th Century),20th,Print,Europe,350.3
747,La Civilisation à la Porte (Mid-19th Century),19th,Print,Europe,203.4
748,Light sconces (2020),21st,Mixed Media,North America,900
749,Withstand (2020),21st,Sculpture,North America,550
750,Pastoral Scene (18th Century),18th,Print,Europe,282.5
751,Senate of the Italian Republic (19th century),19th,Print,Europe,271.2
752,Peasant Festival (19th Century),19th,Print,Europe,384.2
753,Bacchanal Scene (19th Century),19th,Print,Europe,395.5
754,Two Hunting Scenes (T-129398),NA,Print,Europe,870.1
755,Corner Light 1 (2020),21st,Mixed Media,North America,1000
756,Gin and Juice (2018),21st,Mixed Media,North America,3200
757,Education Permanente (1968),20th,Print,North America,1175
758,Two Rural Landscapes (1657),17th,Print,Europe,666.7
759,Large Chinese Cloisonné Champlevé Floral Bowl (1950),20th,Design/Decorative Art,North America,1200
760,Mask Off (2018),21st,Mixed Media,North America,5000
761,Three Romantic Landscapes  (19th Century),19th,Print,Europe,1808
762,Utagawa Kunisada ( 1850s),19th,Print,Europe,542.4
763,Embarking (19th Century),19th,Print,Europe,305.1
764,Mind Travels (2017),21st,Mixed Media,North America,785
765,Firework (2020),21st,Mixed Media,North America,1800
766,Vineyard Cat (2018),21st,Mixed Media,North America,900
767,Madame Mystery (2020),21st,Photography,North America,3100
768,Red Earth Song (2021),21st,Painting,North America,9600
769,NIZHONI (2021),21st,Painting,North America,8640
770,En Hollande (19th Century),19th,Print,Europe,395.5
771,Tea Stool 3 (ca. 2020),21st,Sculpture,North America,1200
772,High Desert Dawn (2020),21st,Painting,North America,5880
773,Emerald Canyon (ca. 2021),21st,Painting,North America,6240
774,In Stirling Castle (1904),20th,Print,Europe,327.7
775,Coyote Call (2021),21st,Painting,North America,8640
776,Japanese Lady (Early 20th Century),20th,Print,Europe,406.8
777,Firework (2020),21st,Mixed Media,North America,1800
778,Between Equinox and Solstice (2017),21st,Painting,North America,7200
779,Snaked (2017),21st,Mixed Media,North America,1300
780,Der Weisskunig  (1775),18th,Print,Europe,2128.5
781,Rap God (2020),21st,Mixed Media,North America,3000
782,Pink Flamingo (2017),21st,Photography,North America,2200
783,Triangular Coffee Table (1950s),20th,Design/Decorative Art,North America,4500
784,"Four Engravings from 'Emblemi di Achille Bocchi"" (1555)",NA,Print,Europe,1921
785,Bad Guy (2019),21st,Mixed Media,North America,2200
786,Japanese Warrior  (Mid 19th Century),19th,Print,Europe,485.9
787,Three Engravings Of  Soldiers (18th Century),18th,Print,Europe,1186.5
788,High Desert Wind (2021),21st,Painting,North America,3600
789,Mind Travels (2017),21st,Mixed Media,North America,785
790,Tea Stool 3 (ca. 2020),21st,Sculpture,North America,1200
791,Antiquities of Herculaneum Exposed ( 18th Century),18th,Print,Europe,406.8
792,Mask Off (2018),21st,Mixed Media,North America,5000
793,Three Capricci With Classical Ruins (19th Century),19th,Print,Europe,689.3
794,I'm Still Standing (2020),21st,Mixed Media,North America,3000
795,Basketball Pillar (2021),21st,Sculpture,North America,3200
796,Gin and Juice (2018),21st,Mixed Media,North America,3200
797,Nizhoni Sunrise (2021),21st,Painting,North America,4400
798,Four Directions (2021),21st,Painting,North America,7200
799,I Am the Walrus (ca. 2019),NA,Mixed Media,North America,2600
800,Japanese Landscape ( Late 19th Century),NA,Print,Europe,655.4
801,Knight (mid-20th century),20th,Print,Europe,203.4
802,Electric Shuck (2020),21st,Painting,North America,8000
803,Three Capricci With Classical Ruins (19th Century),19th,Print,Europe,689.3
804,Between Equinox and Solstice (2017),21st,Painting,North America,7200
805,Horsin' Around (2020),21st,Painting,North America,1300
806,The Breath of Golden Stone (2019),21st,Painting,North America,4560
807,Snaked (2017),21st,Mixed Media,North America,1300
808,Toasted 2 (2021),21st,Painting,North America,2800
809,How Do We Share the Air? (2017),21st,Painting,North America,7200
810,Triangular Coffee Table (1950s),20th,Design/Decorative Art,North America,4500
811,Smoking with the Devil (2019),21st,Painting,North America,3000
812,"84 Frank Street, Surfers Paradise.... Then (2015)",21st,Photography,North America,1800
813,Bataleur Wine Label (2021),21st,Print,North America,275
814,Black Ocean Seashell Resonance (2020),21st,Painting,North America,5000
815,Antiquities of Herculaneum Exposed ( 18th Century),18th,Print,Europe,406.8
816,Luv 2 Luv (2021),21st,Painting,North America,3500
817,I Am the Walrus (ca. 2019),NA,Mixed Media,North America,2600
818,Be Like the Sun at Dawn (2016),21st,Painting,North America,5760
819,Tea Stool 1 (2020),21st,Sculpture,North America,1200
820,Bad Guy (2019),21st,Mixed Media,North America,2200
821,Vineyard at Twilight (2020),21st,Painting,North America,1700
822,Cocktails in Wonderland (2019),21st,Painting,North America,3000
823,Der Weisskunig  (1775),18th,Print,Europe,2128.5
824,The Universe  (2018),21st,Photography,North America,3600
825,Amethyst (2016),21st,Mixed Media,North America,5200
826,Pink Flamingo (2017),21st,Photography,North America,2200
827,Duration (2017),21st,Painting,North America,5760
828,Tea Stool 2 (2020),21st,Sculpture,North America,1200
829,Amethyst (2016),21st,Mixed Media,North America,5200
830,Side Table 2 (2020),21st,Sculpture,North America,900
831,Guy on a Stick (2018),21st,"Drawing, Collage or other Work on Paper",North America,640
832,Pumped Up Kicks (2017),21st,Mixed Media,North America,5000
833,Electric Shuck (2020),21st,Painting,North America,8000
834,Russula Virescens (1892),19th,Print,North America,350
835,The Breath of Golden Stone (2019),21st,Painting,North America,4560
836,Pumped Up Kicks (2017),21st,Mixed Media,North America,4500
837,Moon Paddle Dream Fishing (2020),21st,Painting,North America,8000
838,Les Grande Apartment (2020),21st,Photography,North America,3100
839,Amethyst Crystal (ca. 2016),NA,Mixed Media,North America,4500
840,Green Lantern Chateau (2020),21st,Photography,North America,3100
841,Hotel California (2016),21st,Painting,North America,8640
842,Tea Stool 4 (2020),21st,Sculpture,North America,1200
843,Citrine Crystal (2016),21st,Mixed Media,North America,5000
844,"NotAMuse (Unknown Artist, vol. 2) (2020-2022)",21st,Video/Film/Animation,North America,6000
845,Drain Circle (2020),21st,Painting,North America,8000
846,Round Armchairs (Pair) (1960s),20th,Design/Decorative Art,North America,12000
847,Be Like the Sun at Dawn (2016),21st,Painting,North America,5760
848,Olive (2021),21st,Painting,North America,3300
849,How Do We Share the Air? (2017),21st,Painting,North America,7200
850,Trembles au Bord de la Seine (19th Century),19th,Print,Europe,497.2
851,The Dada Poster (1980),20th,Print,North America,400
852,Wood Fungus Stool (2021),21st,Sculpture,North America,1400
853,Pumped Up Kicks (2017),21st,Mixed Media,North America,4500
854,XIII Olympic Winter Games (1980),20th,Print,North America,450
855,Widowmaker Wine Label (2021),21st,Print,North America,275
856,Inseperable (2020),21st,Painting,North America,3200
857,Spray Can 17 (2020),21st,Photography,North America,8000
858,Zurita Wine Label (2021),21st,Print,North America,275
859,Osmosis Garden (2020),21st,Painting,North America,8000
860,Cannibals (2019),21st,"Drawing, Collage or other Work on Paper",North America,1100
861,You Are the Universe (2018),21st,Painting,North America,8640
862,Floating Pillar (2020),21st,Sculpture,North America,3000
863,When the Grass Bends (2020),21st,Painting,North America,4800
864,Toes in the Grass (Pink) (2020),21st,Painting,North America,8000
865,Amethyst Crystal (ca. 2016),NA,Mixed Media,North America,4500
866,Side Table 2 (2020),21st,Sculpture,North America,900
867,Olive (2021),21st,Painting,North America,3300
868,The Echoes of the Desert (2019),21st,Painting,North America,3600
869,XIII Olympic Winter Games (1980),20th,Print,North America,450
870,Pillar Light 1 (2020),21st,Sculpture,North America,3800
871,Roller Wine Label (2021),21st,Print,North America,275
872,Nacre Schuck (2020),21st,Painting,North America,8000
873,Giddy Up (2020),21st,Painting,North America,2200
874,Tea Stool 2 (2020),21st,Sculpture,North America,1200
875,Round Armchairs (Pair) (1960s),20th,Design/Decorative Art,North America,12000
876,Bishop Wine Label (2021),21st,Print,North America,275
877,Tea Stool 4 (2020),21st,Sculpture,North America,1200
878,Big Blue (2019),21st,Photography,North America,7500
879,Russula Virescens (1892),19th,Print,North America,350
880,Olive (2020),21st,Painting,North America,3200
881,Shoewreck Shore (Diptych) (2020),21st,Painting,North America,3500
882,Spray Can 7 (2020),21st,Photography,North America,4500
883,Dead Head Winos (2021),21st,Painting,North America,3500
884,Guiterra Wine Label (2021),21st,Print,North America,275
885,Armchairs  from National Hotel in Brasilia (c. 1960),20th,Design/Decorative Art,North America,15000
886,Spray Can 15 (2020),21st,Photography,North America,2250
887,Rise and Shine (2019),21st,Painting,North America,1400
888,Love (2020),21st,Painting,North America,3600
889,Toe Painter (2020),21st,Painting,North America,8000
890,Happy Hour (ca. 2020),21st,Painting,North America,3500
891,"NotAMuse (Unknown Artist, vol. 2) (2020-2022)",21st,Video/Film/Animation,North America,6000
892,Dream Cloud (2020),21st,Photography,North America,3100
893,Trembles au Bord de la Seine (19th Century),19th,Print,Europe,497.2
894,Foot Pine Blues (2020),21st,Painting,North America,8000
895,"Embrace, Pursue, Live (2019)",21st,Painting,North America,4800
896,Sad Girl (2020),21st,Painting,North America,5000
897,Agave 1 (2018),21st,Photography,North America,3600
898,Purple Sage (2017),21st,Photography,North America,2200
899,The US Democrat Presidents (Unknown),NA,Print,North America,500
900,Toes in the Grass (Black) (2020),21st,Painting,North America,8000
901,The Fire is Strong (2018),21st,Painting,North America,3600
902,Inseperable 2 (2018),21st,Painting,North America,1300
903,Place de Villerville' and 'Lever de Lune' (19th Century),19th,Print,Europe,440.7
904,Devilish Luv (2021),21st,Painting,North America,2000
905,Collectable Fine Art Poster (2020),21st,Posters,North America,125
906,World Wide Web (2020),21st,Painting,North America,1400
907,The Smith (Early 20th Century),20th,Print,Europe,305.1
908,Spray Can 14 (2020),21st,Photography,North America,2300
909,Le Rivoluzioni (20th Century),20th,Print,Europe,203.4
910,Dreaming (Unknown),NA,Painting,North America,3600
911,"Ballons, Japanese, Showa period (ca. 1960)",20th,Ephemera or Merchandise,Europe,445.5
912,Neptun Lightbox (2021),21st,Photography,North America,1500
913,Periphery (2020),21st,Painting,North America,2500
914,Spray Can 13 (2020),21st,Photography,North America,8000
915,In the Reeds (2020),21st,Painting,North America,2500
916,Ceivez Garden (Unknown),NA,Painting,North America,3500
917,Flowers (2020),21st,Print,North America,175
918,"Aminita Muscaria, Linnæus (Mushrooms) (1892)",19th,Print,North America,350
919,Spray Can 11 (2020),21st,Photography,North America,7500
920,Cypress Road (Unknown),NA,Painting,North America,2700
921,Spray Can 6 (2020),21st,Photography,North America,6500
922,Gates of Heaven (1978),20th,Print,North America,1800
923,The Collection of the Museum of Contemporary Art Ghent (1994),20th,Print,North America,75
924,Black Hole (2019),21st,Photography,North America,4400
925,Abstract composition (Mid-20th Century),20th,Print,Europe,226
926,Spray Can 9 (2000),NA,Photography,North America,475
927,Bals de Paris (1900),NA,Print,North America,850
928,Guernica: 42 Sketches on Paper by Marie-Laure Bernadac (1990),20th,Books and Portfolios,North America,3200
929,Guardians of the Flowers (Unknown),NA,Painting,North America,2700
930,Neptun Lightbox (2021),21st,Photography,North America,1500
931,Kannon Appears as a Goddess (19th century),19th,Print,Europe,305.1
932,Spray Can 18 (2020),21st,Print,North America,400
933,Lead Me Home (Unknown),NA,Painting,North America,3600
934,Listening to Chopin (Unknown),NA,Painting,North America,900
935,Cite de Carcassonne [The City of Carcassonne] (1875-1899),19th,Print,North America,250
936,Beethoven's Home (Unknown),NA,Print,North America,500
937,Le Repos Pendant la Fuitre en Egypte (17th Century),17th,Print,Europe,305.1
938,Unknown African Soldier (2022),21st,Painting,Europe,678
939,Art Verrier Saint Louis Marbled Glass Lidded Bowl Compote (ca. 1910),20th,Design/Decorative Art,North America,850
940,Poster Giorgio De Chirico Exhibition (1973),20th,Print,Europe,429.4
941,Spray Can 8 (2020),21st,Photography,North America,4500
942,Spuds Are The Goods,NA,Print,North America,250
943,Summer Bouquet (Unknown),NA,Painting,North America,3600
944,Neptun Lightbox (2021),21st,Photography,North America,5500
945,Morning Glory (1973),20th,Print,North America,250
946,Edible Mushrooms [Essbare Pilze] (1892),19th,Print,North America,450
947,Journal Des Demoiselles (19th Century),19th,Print,Europe,655.4
948,Amour Motel (2020),21st,Photography,North America,3100
949,La Mort et le Bucheron (1876),19th,Print,Europe,610.2
950,Harmful Mushrooms [Schadliche Pilze] (1892),19th,Print,North America,450
951,Schubert's Home (Unknown),NA,Print,North America,400
952,Unknown Forgotten Soldier (2022),21st,Painting,Europe,678
953,My Bed (Unknown),NA,Painting,North America,3800
954,Ghost Rider (1983),NA,Print,North America,1500
955,UNKNOWN TITLE (UNKNOWN),NA,Print,North America,900
956,Unknown African Soldier  (2022),21st,Painting,Europe,678
957,Open City (unknown),NA,"Drawing, Collage or other Work on Paper",North America,750
958,Painting Red Apples (Unknown),NA,Painting,North America,1200
959,The Last Touch (Unknown),NA,Painting,North America,3200
960,The Wall (Unknown),NA,Print,North America,400
961,"Test print of a Meisen stencil (katagami), Japanese, Showa period (1960-1969)",20th,Ephemera or Merchandise,Europe,148.5
962,R.R. Donnelley & Sons Company - 1897 (1897),NA,Print,North America,125
963,My Bed (Unknown),NA,Painting,North America,3800
964,The Rose Branch (Unknown),NA,Painting,North America,3200
965,The Blue Painting (Unknown),NA,Painting,North America,600
966,Project for Les Invalides (17th Century),17th,Print,Europe,406.8
967,Unknown African Soldier  (2022),21st,Painting,Europe,678
968,Guardians of the Flowers (Unknown),NA,Painting,North America,2700
969,The Campbell's Souper Dress (1965),NA,Fashion Design and Wearable Art,North America,20000
970,SPECTACLES (UNKNOWN),NA,Painting,North America,4500
971,"Alexander Frazer - Oyster Dealer - Depot No. 1 Foot of Broome Street. East River N.Y.  Stephenson's River View. Between Broome & Delancy St. East Street, N.Y. (ca. 1865)",19th,Print,North America,9950
972,1950s Red Metal Stiletto Shoe Sculptures (ca. 1950),20th,Design/Decorative Art,Europe,559.35
973,The Doves (Unknown),NA,Painting,North America,600
974,Standing In The Corner (Unknown),NA,Painting,North America,600
975,Taking a Break (Unknown),NA,Painting,North America,3800
976,Blossom (Unknown),NA,Print,North America,300
977,Untitled Still Life with Odd Flowers-FOUR (DATE UNKNOWN),NA,Mixed Media,North America,4500
978,The Musician's Stool (Unknown),NA,Print,North America,400
979,Blossom (Unknown),NA,Print,North America,300
980,Abstract Landscape (Unknown),NA,Painting,North America,100000
981,The Blue Painting (Unknown),NA,Painting,North America,600
982,Untitled (Unknown),NA,Painting,North America,3500
983,Hen and Eggs in a Landscape (Unknown),NA,Painting,North America,12500
984,Untitled (Unknown),NA,"Drawing, Collage or other Work on Paper",Europe,4950
985,Simple Elimination (Unknown),NA,Painting,North America,1425
986,Much Unknown 1 (2021),21st,"Drawing, Collage or other Work on Paper",North America,1200
987,UNKNOWN TITLE (1997),20th,Print,North America,750
988,Biker/Swarmer (Unknown),NA,Painting,North America,425
989,R.R. Donnelley & Sons Company - 1897 (1897),NA,Print,North America,125
990,Japanese Artists of the XIX Century - 1897 (1897),NA,Print,North America,150
991,The Art Table (Unknown),NA,"Drawing, Collage or other Work on Paper",North America,400
992,Adrift III (Unknown),NA,Painting,North America,1425
993,Old Memory (Unknown),NA,Sculpture,North America,695
994,Unknown (2021),21st,Painting,Europe,5662.8
995,Mystical eyes (Unknown possibly 2010),NA,Painting,North America,20000
996,Untitled (Unknown),NA,"Drawing, Collage or other Work on Paper",Europe,6930
997,A Place Unknown (2020),21st,Painting,North America,4600
998,Now What Do I Do? (Unknown),NA,"Drawing, Collage or other Work on Paper",North America,400
999,The Love Letter (After Kunimasa) (Unknown),NA,Painting,North America,24000
1000,Simple Elimination (Unknown),NA,Painting,North America,1425
1001,Funny Guy Talks (Unknown),NA,Painting,North America,1800
1002,Untitled (Unknown),NA,"Drawing, Collage or other Work on Paper",Europe,4950
1003,Much Unknown 2 (2021),21st,"Drawing, Collage or other Work on Paper",North America,1200
1004,Delicate Chill (Unknown),NA,Painting,North America,3800
1005,Into the Unknown (2021),21st,"Drawing, Collage or other Work on Paper",Europe,847.5
1006,FBI Drawings: Unknown (2021),21st,"Drawing, Collage or other Work on Paper",North America,50000
1007,Unknown (n/a),NA,Painting,North America,1700
1008,The Unknown (2016),21st,Painting,North America,4800
1009,Old Memory (Unknown),NA,Sculpture,North America,695
1010,Adrift III (Unknown),NA,Painting,North America,1425
1011,Unknown (2021),21st,Painting,Europe,5662.8
1012,Untitled (Unknown),NA,"Drawing, Collage or other Work on Paper",Europe,4950
1013,Untitled (Unknown),NA,Painting,North America,3500
1014,Unknown Title (1973),20th,Print,North America,1450
1015,The Unknown (2022),21st,Painting,North America,3800
1016,Untitled (Unknown),NA,"Drawing, Collage or other Work on Paper",Europe,6930
1017,Thunder Clusters (Unknown),NA,Painting,North America,3200
1018,11 (Unknown),NA,"Drawing, Collage or other Work on Paper",North America,1900
1019,"War ""Fair""? (Unknown)",NA,Painting,North America,3200
1020,Pastel Gardens I (Unknown),NA,Painting,North America,1200
1021,Tres Joile (Unknown),NA,Mixed Media,North America,3000
1022,Correspondance 52 (Unknown),NA,Painting,North America,3400
1023,Lost Canyon (Unknown),NA,Mixed Media,North America,600
1024,Unknown but Centred I  (2020),21st,Painting,Europe,3390
1025,Arctic Voyages (Unknown),NA,Painting,North America,3200
1026,Ok Spiro Mounds (Unknown),NA,Painting,North America,3800
1027,Continents II (Unknown),NA,Painting,North America,1200
1028,Way unknown (2021),21st,"Drawing, Collage or other Work on Paper",North America,129
1029,E. Musk Influence (Unknown),NA,Painting,North America,3200
1030,Red Bird Sings (Unknown),NA,Painting,North America,1200
1031,Untitled (Unknown),NA,Mixed Media,North America,1750
1032,Untitled 489 (Unknown),NA,Painting,Europe,35862.75
1033,Lunar Sprinkle (Unknown),NA,Print,North America,700
1034,Unknown I (2017),21st,Photography,North America,200
1035,A Place Unknown (2020),21st,Painting,North America,4600
1036,Pueblo (Unknown),NA,Mixed Media,North America,2500
1037,"""Cosmic Unknown"" Contemporary Colorful Painted Plaster Wall Sculpture (2022)",21st,Mixed Media,North America,875
1038,After Vermeer...Beth's Way (Unknown),NA,Painting,North America,3200
1039,La Jeune I (Unknown),NA,Painting,North America,3200
1040,"Keep In Touch, Nico Muhly, Composer (Unknown)",NA,Mixed Media,North America,800
1041,Story (Unknown),NA,Painting,North America,2000
1042,"Lean II, Nico Muhly, Composer (Unknown)",NA,Mixed Media,North America,800
1043,Sunset Harbor (Unknown),NA,Painting,North America,3200
1044,Oahu Tours (Unknown),NA,Painting,North America,3200
1045,Untitled (Unknown),NA,Print,North America,1000
1046,White Meditation (Unknown),NA,Photography,North America,9500
1047,Shock Blue Black Hole (Unknown),NA,Print,North America,700
1048,Caligrafia (Unknown),NA,Painting,North America,2600
1049,Sherbert Yum (Unknown),NA,Painting,North America,3200
1050,Double Habitat 2 (Unknown),NA,Painting,North America,3000
1051,Unknown Union  (2021),21st,Print,Africa,179.2
1052,Ghost (Unknown),NA,Painting,North America,700
1053,Trio Chorus (Unknown),NA,Print,North America,225
1054,Foggy (unknown ),NA,Painting,North America,6000
1055,Quartz Mountain Georgia's Mountain - A Day In The Sun (Unknown),NA,Mixed Media,North America,600
1056,Yep. That's It. That's The One. (Unknown),NA,Painting,North America,3000
1057,Destination Unknown (2017),21st,Painting,Europe,1039.6
1058,Strength (Unknown),NA,Painting,North America,750
1059,The Love Letter (After Kunimasa) (Unknown),NA,Painting,North America,24000
1060,"Keep In Touch, Nico Muhly, Composer (Unknown)",NA,Mixed Media,North America,800
1061,The Remedy (Unknown),NA,Painting,North America,1800
1062,The Lizard x Van Gogh's Ear (Unknown),NA,Painting,North America,3200
1063,Cyclamen (Unknown),NA,Painting,North America,2800
1064,Double Habitat 2 (Unknown),NA,Painting,North America,3000
1065,Elizabeth (Unknown),NA,Print,North America,595
1066,Teal Activity I (Unknown),NA,Painting,North America,195
1067,"Pink & Green: On The Back Road To Crested Butte, CO (Unknown)",NA,Mixed Media,North America,4500
1068,Dirty Peach & Twilight (Unknown),NA,Print,North America,700
1069,Spike (Unknown),NA,Photography,North America,1550
1070,Male Abstract Artist vs Female Abstract Artist (Unknown),NA,Painting,North America,2600
1071,"Viola Concerto: II, Jennifer Higdon, Composer (Unknown)",NA,Mixed Media,North America,500
1072,Ghost (Unknown),NA,Painting,North America,700
1073,Story (Unknown),NA,Painting,North America,2000
1074,Sitzender Terrier (unknown),NA,Print,Europe,1732.5
1075,"Viola Concerto, Pt 2 Nico Muhly, Composer (Unknown)",NA,Mixed Media,North America,800
